vehicle_id,timestamp,odometer_km,speed_kmh,engine_rpm,engine_load_pct,engine_temp_c,oil_pressure_kpa,coolant_pressure_kpa,fuel_pressure_kpa,lubricant_oil_temp_c,gear_position,transmission_fluid_temp_c,brake_pad_wear_mm_front,brake_pad_wear_mm_rear,abs_triggered,suspension_health_pct,tire_pressure_psi_fl,tire_pressure_psi_fr,tire_pressure_psi_rl,tire_pressure_psi_rr,battery_voltage_v,alternator_output_amps,ac_compressor_status,cabin_temperature_c,coolant_level_pct,brake_fluid_level_pct,fuel_level_pct,outside_air_temp_c,failure_type
CAR-05,2025-01-01 00:37:00,38561.30561948423,31.42397677363531,1441.3274890199768,33.854386064181185,93.38543860641812,377.93362554900114,106.77087721283624,380,90.07815790962718,1,88.38543860641812,13.48161593364582,14.753802353222722,0,98.91675873545655,31.9371049619708,31.80329396036979,32.1286806466507,32.072653041778594,13.814386943805157,34.413274890199766,1,22.5,99.99994762670538,99.99997381335268,80,28.0,None
CAR-04,2025-01-01 01:15:00,111865.46619455233,35.8136627786413,1537.9005811301085,36.48819766718478,93.64881976671847,373.10497094349455,107.29763953343695,380,90.47322965007771,1,88.64881976671847,14.565021227223124,15.192582807041713,0,92.87488528326502,32.11431178466324,32.200765047919816,31.54840032295963,32.322834438576294,13.081345338054476,35.379005811301084,1,22.5,99.99994031056204,99.99997015528102,79,28.0,None
CAR-01,2025-01-01 01:43:00,78513.83704715443,121.25372292524683,3417.58190435543,87.7522337551481,98.77522337551481,279.1209047822285,117.55044675102963,380,98.16283506327221,6,93.77522337551481,13.894176339497033,14.486446365700289,0,95.76890598650434,32.4840126650487,32.28839373094012,32.425314580566535,31.79733078168804,11.79788362426597,10.54097781615437,1,22.5,99.9997979104618,99.99989895523089,78,28.0,Battery Failure
CAR-02,2025-01-01 02:11:00,77223.4300055911,76.40862707576439,2430.9897956668165,60.84517624545863,96.08451762454587,328.45051021665915,112.16903524909173,380,94.1267764368188,3,91.08451762454587,14.991407568891221,13.931284801509694,0,99.74829990601434,31.94564569765606,31.59873028354147,31.810803169162664,32.01382119345777,13.427765699944088,44.309897956668166,1,22.5,99.9998726522882,99.99993632614411,77,28.0,None
CAR-07,2025-01-01 02:39:00,112511.69678589872,58.91440602994866,2046.1169326588704,50.348643617969195,95.03486436179692,155.25870927569292,110.06972872359384,380,113.66401840101312,2,90.03486436179692,10.159686201021305,14.560856435510129,0,91.07070068102428,32.06961132233827,31.633700806427342,32.48876103675266,32.051319661497715,13.074883032141011,40.4611693265887,1,22.5,99.99990180932328,99.99995090466165,76,28.0,Engine Oil Malfunction
CAR-05,2025-01-01 03:18:00,38570.03475639713,52.374821477413136,1902.246072503089,46.42489288644788,94.64248928864478,354.8876963748455,109.28497857728958,380,91.96373393296719,2,89.64248928864478,13.480743019954529,14.75310402226969,0,98.9163222786109,31.754781035519173,32.33239561061656,32.381389878634096,31.8366752655755,13.814299652436027,39.02246072503089,1,22.5,99.99986033533625,99.99993016766811,75,28.0,None
CAR-01,2025-01-01 04:03:00,78530.4893468359,99.91379808872786,2948.103557952013,74.94827885323672,97.49482788532367,302.59482210239935,114.98965577064735,380,96.24224182798551,4,92.49482788532367,13.892511109528888,14.485114181725772,0,95.76807337152026,20.468598010849753,31.951569197458515,31.591053802276758,31.763211216639466,13.41469510653164,49.48103557952013,1,22.5,99.99963138746497,99.99981569373249,74,28.0,Tire Pressure Loss
CAR-05,2025-01-01 04:14:00,38580.12723512135,60.554872345324306,2082.2071915971346,51.332923407194585,95.13329234071946,345.8896404201433,110.26658468143891,380,92.69993851107918,3,90.13329234071946,13.479733772082106,14.752296623971754,0,98.9158176546747,31.80405008611838,32.23870689483651,31.593293663656556,31.78966131599674,13.814198727648785,40.82207191597135,1,22.5,99.999759410549,99.9998797052745,73,28.0,None
CAR-03,2025-01-01 04:52:00,102570.93893810436,58.63667260691069,2040.0067973520352,50.18200356414641,95.01820035641464,347.9996601323983,110.03640071282928,380,92.52730053462196,2,90.01820035641464,14.292393084278475,12.44601894996588,0,97.14983760536832,31.53015329451923,32.0956208707326,31.87055191700484,31.579082280551667,13.174290610618955,40.40006797352035,1,22.5,99.99990227221232,99.99995113610616,72,28.0,None
CAR-05,2025-01-01 05:18:00,38589.031537817755,53.42581617842922,1925.3679559254429,47.05548970705753,94.70554897070575,353.73160220372785,109.41109794141151,380,92.05832345605863,2,89.70554897070575,13.478843341812466,14.751584279756042,0,41.128587861974516,31.65911639936759,31.676035438231082,31.84949052066162,31.942638306801555,13.814109684621823,39.25367955925443,1,22.5,99.99967036752204,99.99983518376101,71,28.0,Suspension System Failure
CAR-10,2025-01-01 05:42:00,93233.48962841218,119.88685702928146,3387.510854644192,86.93211421756887,98.69321142175689,280.6244572677904,117.38642284351377,380,98.03981713263533,5,93.69321142175689,10.701643966781603,12.626960042221182,1,91.9603299376167,32.12811653688703,31.52461480184932,31.617844154947477,31.662847345867664,13.267665103715878,53.87510854644192,1,22.5,99.99980018857161,99.9999000942858,70,28.0,None
CAR-02,2025-01-01 06:15:00,77232.85310185066,56.53857755737858,1993.8487062623287,48.92314653442715,94.89231465344271,350.30756468688355,109.78462930688544,380,92.33847198016407,2,89.89231465344271,14.990465259265264,13.93053095380893,0,99.74782875120135,32.18093550019834,32.481538628064314,32.12776352024401,32.453929289731725,13.427671468981492,39.93848706262329,1,22.5,99.9997784213256,99.99988921066281,69,28.0,None
CAR-05,2025-01-01 06:45:00,38593.60910156881,27.465382506294542,1354.23841513848,31.479229503776725,93.14792295037768,382.288079243076,106.29584590075535,380,89.72188442556651,1,88.14792295037768,1.5003527754629808,14.751218074655958,0,98.91514356135232,32.120272506977884,31.778894911107297,31.98826497565065,32.289178466084614,13.814063908984311,33.5423841513848,1,22.5,99.99962459188453,99.99981229594225,68,28.0,Brake System Failure
CAR-10,2025-01-01 06:56:00,93252.21202560548,112.33438315976005,3221.356429514721,82.40062989585603,98.2400629895856,288.9321785242639,116.4801259791712,380,97.36009448437841,5,93.2400629895856,10.699771727062274,12.625462250445718,0,91.95939381775705,31.75307653857733,31.655879081791504,31.8967606873654,31.982470212318223,13.267477879743945,52.213564295147215,1,22.5,99.99961296459968,99.99980648229985,67,28.0,None
CAR-06,2025-01-01 07:25:00,30402.84107377278,30.217196643509656,1414.7783261572124,33.130317986105794,93.31303179861058,379.2610836921394,106.62606359722116,380,89.96954769791587,1,88.31303179861058,14.517301410118819,12.929250545357712,0,90.60620157230996,31.67985694567043,32.35279302252975,31.609553435044734,31.83616028391946,12.593861557080517,14.112647285701273,1,22.5,99.99994963800559,99.9999748190028,66,28.0,Electrical System Fault
CAR-10,2025-01-01 07:54:00,93266.8554461869,87.86052348859823,2682.9315167491613,67.71631409315893,96.77163140931589,315.85342416254196,113.54326281863179,380,95.15744711397384,4,91.77163140931589,10.69830738500413,12.624290776799203,0,91.95866164672798,32.36304698592947,31.92782003046425,32.28931353200437,32.45839251188609,13.26733144553813,46.829315167491615,1,22.5,99.99946653039386,99.99973326519694,65,28.0,None
CAR-09,2025-01-01 08:27:00,94596.9359482678,43.79926879123063,1713.5839134070739,41.27956127473838,94.12795612747384,364.3208043296463,108.25591225494767,380,91.19193419121076,2,89.12795612747384,13.620043751762907,15.270417565156189,0,99.94468832229515,31.977544521240194,32.099129878198056,31.992077379853797,32.11689434082718,13.254030640517321,37.135839134070736,1,22.5,99.99992700121868,99.99996350060934,64,28.0,None
CAR-07,2025-01-01 08:44:00,112522.5241155536,64.96397792931282,2179.207514444882,53.97838675758769,95.39783867575878,341.03962427775593,110.79567735151754,380,93.09675801363815,3,90.39783867575878,10.158603468055817,14.559990249137737,0,91.07015931454153,31.735695907317762,32.003660647078185,31.917255655997963,31.610980510064955,13.074774758844462,41.792075144448816,1,22.5,99.99979353602673,99.99989676801337,63,28.0,None
CAR-10,2025-01-01 09:27:00,93282.40909897655,93.32191673791372,2803.082168234102,70.99315004274823,115.73562392335526,309.8458915882949,114.19863000854964,380,95.64897250641224,4,92.09931500427483,10.696752019725164,12.623046484576031,0,91.9578839640885,31.551680993636584,32.45046877626758,32.04542634052624,31.856905431607643,13.267175909010234,48.03082168234102,1,22.5,58.91840087250269,99.99965549693299,62,28.0,Engine Overheating
CAR-01,2025-01-01 09:47:00,78531.60530196181,6.6957307554732886,750.0,19.017438453283972,91.9017438453284,156.61634883407763,103.8034876906568,380,114.64117008878982,0,86.9017438453284,13.892399514016297,14.485024905315699,0,95.76801757376397,31.992533005046887,31.960432289963716,32.06501371803743,32.27721894489855,13.41468394698038,27.5,0,22.5,99.99962022791371,99.99981011395685,61,28.0,Engine Oil Malfunction
CAR-09,2025-01-01 10:18:00,94601.17658276517,25.443806984215513,1309.7637536527413,30.266284190529305,93.02662841905293,384.5118123173629,106.05325683810587,380,89.5399426285794,1,88.02662841905293,13.61961968831317,15.270078314396399,0,99.94447629057028,31.617912068990005,31.547988986352767,31.747162196433656,32.448790820951345,13.253988234172347,33.097637536527415,1,22.5,99.9998845948737,99.99994229743686,80,28.0,None
CAR-04,2025-01-01 10:42:00,111872.66927053835,43.21845591611396,1700.806030154507,40.931073549668376,94.09310735496683,364.95969849227464,108.18621470993368,380,91.13966103245025,2,89.09310735496683,14.564300919624522,15.192006560962831,0,92.87452512946571,31.59569251612067,31.69810604140203,32.47116759585303,32.44815679258389,13.081273307294616,37.00806030154507,1,22.5,99.99986827980217,99.99993413990109,79,28.0,None
CAR-08,2025-01-01 10:52:00,37214.625805239906,75.70381490128769,2415.483927828329,60.42228894077261,96.04222889407725,329.22580360858353,112.08445778815452,380,94.0633433411159,3,91.04222889407725,14.853632432021268,12.148313871511268,0,98.88498273491254,32.149950304819754,32.27309235769169,31.56383822829588,31.9649080331641,13.8278537419476,44.15483927828329,1,22.5,99.99987382697516,99.99993691348759,78,28.0,None
CAR-10,2025-01-01 11:20:00,93292.35838115637,59.69569307892442,2063.305247736337,50.81741584735465,95.08174158473547,346.83473761318317,110.16348316947094,380,92.6226123771032,2,90.08174158473547,10.695757091507181,12.622250542001646,0,91.9573864999795,32.47731851193504,32.06831339709487,31.82667253594323,31.89012623872733,13.267076416188436,40.63305247736337,1,22.5,99.99921150104416,99.9996057505221,77,28.0,None
CAR-01,2025-01-01 12:03:00,78543.07005337339,68.78850846950832,2263.347186329183,56.27310508170499,95.6273105081705,336.83264068354083,111.25462101634099,380,93.44096576225574,3,90.6273105081705,13.891253038875139,14.484107725202772,0,95.76744433619339,32.11084675663297,31.936922207460864,32.20579100827701,32.48521424320247,13.414569299466265,42.63347186329183,1,22.5,99.9995055803996,99.99975279019979,76,28.0,None
